,,Location 2021,,-->,Location 2022,AIFDB,
Testrun,Corpus,AIFDBQT Map,AIFDB Map,,AIFDB Map,Old ID,
,,,,,,,
cutietestrun11november2021,cutietestrun11november2021,22334,,,23460,,
cutietestrun11november2021,cutietestrun11november2021,22335,,,23555,,
cutietestrun11november2021,cutietestrun11november2021,22336,,,23473,,
cutietestrun11november2021,cutietestrun11november2021,22337,,,25409,23474,
cutietestrun11november2021,cutietestrun11november2021,22338,,,23475,,
cutietestrun11november2021,cutietestrun11november2021,22339,,,23476,,
cutietestrun11november2021,cutietestrun11november2021,22340,,,23688,,
cutietestrun11november2021,cutietestrun11november2021,22341,,,23478,,
cutietestrun11november2021,cutietestrun11november2021,22343,,,23479,,
cutietestrun11november2021,cutietestrun11november2021,22344,,,23480,,
cutietestrun11november2021,cutietestrun11november2021,22342,,,23481,,
cutietestrun11november2021,cutietestrun11november2021,22347,,,23483,,
cutietestrun11november2021,cutietestrun11november2021,22349,,,23484,,
cutietestrun11november2021,cutietestrun11november2021,22346,,,23485,,
cutietestrun11november2021,cutietestrun11november2021,22350,,,23487,,
cutietestrun11november2021,cutietestrun11november2021,22351,,,23488,,
cutietestrun11november2021,cutietestrun11november2021,22352,,,23491,,
cutietestrun11november2021,cutietestrun11november2021,22354,,,24042,,
cutietestrun11november2021,cutietestrun11november2021,22355,,,23494,,
cutietestrun11november2021,cutietestrun11november2021,22357,,,23495,,
cutietestrun11november2021,cutietestrun11november2021,22356,,,23496,,
cutietestrun11november2021,cutietestrun11november2021,22358,,,23497,,
cutietestrun11november2021,cutietestrun11november2021,22359,,,23498,,
cutietestrun11november2021,cutietestrun11november2021,22361,,,23500,23450,
cutietestrun11november2021,cutietestrun11november2021,22363,,,23502,,
cutietestrun11november2021,cutietestrun11november2021,22365,,,23503,,
cutietestrun11november2021,cutietestrun11november2021,22366,,,23504,,
cutietestrun11november2021,cutietestrun11november2021,22367,,,23505,,
cutietestrun11november2021,cutietestrun11november2021,22369,,,23506,,
cutietestrun11november2021,cutietestrun11november2021,22371,,,23507,,
cutietestrun11november2021,cutietestrun11november2021,22372,,,23508,,
cutietestrun11november2021,cutietestrun11november2021,22373,,,23509,,
cutietestrun11november2021,cutietestrun11november2021,22370,,,23510,,
cutietestrun11november2021,cutietestrun11november2021,22375,,,23511,,
cutietestrun11november2021,cutietestrun11november2021,22376,,,23512,,
cutietestrun11november2021,cutietestrun11november2021,22377,,,23513,,
cutietestrun11november2021,cutietestrun11november2021,22382,,,23514,,
cutietestrun11november2021,cutietestrun11november2021,22385,,,23515,,
cutietestrun11november2021,cutietestrun11november2021,22386,,,23517,,
cutietestrun11november2021,cutietestrun11november2021,22390,,,25690,,
cutietestrun11november2021,cutietestrun11november2021,22374,,,25691,,
,,,,,,,
cutietestrun28october2021,cutietestrun28october2021,22273,,,23521,,part 1
cutietestrun28october2021,cutietestrun28october2021,22274,,,23523,,part 5
cutietestrun28october2021,cutietestrun28october2021,22275,,,23525,,part 2
cutietestrun28october2021,cutietestrun28october2021,22276,,,23526,,part 3
cutietestrun28october2021,cutietestrun28october2021,22277,,,23527,,part 6
cutietestrun28october2021,cutietestrun28october2021,22278,,,23530,,part 7
cutietestrun28october2021,cutietestrun28october2021,22279,,,23531,,part 4
cutietestrun28october2021,cutietestrun28october2021,22280,,,23533,,part 18
cutietestrun28october2021,cutietestrun28october2021,22281,,,23535,,part 20
cutietestrun28october2021,cutietestrun28october2021,22282,,,23536,,part 12
cutietestrun28october2021,cutietestrun28october2021,22283,,,23537,,part 14
cutietestrun28october2021,cutietestrun28october2021,22285,,,23538,,part 11
cutietestrun28october2021,cutietestrun28october2021,22284,,,23539,,part 8
cutietestrun28october2021,cutietestrun28october2021,22286,,,23541,,part 15
cutietestrun28october2021,cutietestrun28october2021,22287,,,23542,,part 19
cutietestrun28october2021,cutietestrun28october2021,22290,,,23544,,part 22
cutietestrun28october2021,cutietestrun28october2021,22288,,,23545,,part 21
