,,Location 2021,,-->,Location 2022,AIFDB,,,,Corpus Exists in AIFDB?,Most Recent Map in Corpus,Participants Tidied?,Transcript added to edit link?,2021 Corpus Edit LInk,2022 Corpus Edit Link,Text Present 2021 Location,Text Present 2022 Location,Progress Sheet Link,Transcript Google Doc link
Testrun,Corpus,AIFDBQT Map,AIFDB Map,,AIFDB Map,Old ID,,,Part number,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun11november2021,cutietestrun11november2021,22334,,,23460,,,,1,y,23460,,y,http://corporaqt.arg.tech/edit.php?k=60e5834d71447cc4e02f4ac602411361,http://corpora.aifdb.org/edit.php?k=0354fc5935b474c71150d9fb75b06a6e,,,https://docs.google.com/spreadsheets/d/1I8lDNwcjJ6CVm2b-gdkp-UAczmy9KAHjdoYNBQSgxnM/edit#gid=994901349,https://docs.google.com/document/d/1hAdZwWsAEn524fO7NkWCBVmtJveijjljj8JIjRkYQnw/edit?usp=sharing
cutietestrun11november2021,cutietestrun11november2021,22335,,,23555,,,,2,y,23555,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22336,,,23473,,,,4,y,23473,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22337,,,25409,23474,,,3,y,25409,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22338,,,23475,,,,5,y,23475,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22339,,,23476,,,,6,y,23476,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22340,,,23688,,,,7,y,23688,,,,,,n,,
cutietestrun11november2021,cutietestrun11november2021,22341,,,23478,,,,11,y,23478,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22343,,,23479,,,,16,y,23479,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22344,,,23480,,,,12,y,23480,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22342,,,23481,,,,15,y,23481,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22347,,,23483,,,,18,y,23483,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22349,,,23484,,,,19,y,23484,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22346,,,23485,,,,9,y,23485,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22350,,,23487,,,,14,y,23487,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22351,,,23488,,,,23,y,23488,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22352,,,23491,,,,8,y,23491,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22354,,,24042,,,,20,y,24042,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22355,,,23494,,,,25,y,23494,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22357,,,23495,,,,17,y,23495,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22356,,,23496,,,,10,y,23496,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22358,,,23497,,,,24,y,23497,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22359,,,23498,,,,26,y,23498,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22361,,,23500,23450,,,22,y,23500,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22363,,,23502,,,,28,y,23502,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22365,,,23503,,,,30,y,23503,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22366,,,23504,,,,33,y,23504,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22367,,,23505,,,,21,y,23505,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22369,,,23506,,,,40,y,23506,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22371,,,23507,,,,35,y,23507,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22372,,,23508,,,,32,y,23508,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22373,,,23509,,,,29,y,23509,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22370,,,23510,,,,41,y,23510,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22375,,,23511,,,,13,y,23511,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22376,,,23512,,,,38,y,23512,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22377,,,23513,,,,37,y,23513,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22382,,,23514,,,,39,y,23514,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22385,,,23515,,,,31,y,23515,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22386,,,23517,,,,27,y,23517,,,,,,y,,
cutietestrun11november2021,cutietestrun11november2021,22390,,,25690,22368,,,34,y,25690,,,,,,,,
cutietestrun11november2021,cutietestrun11november2021,22374,,,25691,,,,36,y,25691,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun28october2021,cutietestrun28october2021,22273,,,23521,,,,part 1,y,23521,,y,http://corporaqt.arg.tech/edit.php?k=2da2d5cdba97a5a5313951109a8ea199,http://corpora.aifdb.org/edit.php?k=a4a31364bfd9a2efc94c50ee5da621dc,,,https://docs.google.com/spreadsheets/d/1I8lDNwcjJ6CVm2b-gdkp-UAczmy9KAHjdoYNBQSgxnM/edit#gid=634845210,https://docs.google.com/document/d/16BfSscjkQdWQ4k0DQDt9rk-nR_pNGrB6bBraO6APrfo/edit?usp=sharing
cutietestrun28october2021,cutietestrun28october2021,22274,,,23523,,,,part 5,y,23523,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22275,,,23525,,,,part 2,y,23525,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22276,,,23526,,,,part 3,y,23526,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22277,,,23527,,,,part 6,y,23527,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22278,,,23530,,,,part 7,y,23530,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22279,,,23531,,,,part 4,y,23531,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22280,,,23533,,,,part 18,y,23533,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22281,,,23535,,,,part 20,y,23535,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22282,,,23536,,,,part 12,y,23536,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22283,,,23537,,,,part 14,y,23537,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22285,,,23538,,,,part 11,y,23538,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22284,,,23539,,,,part 8,y,23539,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22286,,,23541,,,,part 15,y,23541,,,,,,y,,
